"Date_evenement";"Femmes_0_24ans_Deces2020";"Femmes_25_49ans_Deces2020";"Femmes_50_64ans_Deces2020";"Femmes_65_74ans_Deces2020";"Femmes_75_84ans_Deces2020";"Femmes_85ans_plus_Deces2020";"Hommes_0_24ans_Deces2020";"Hommes_25_49ans_Deces2020";"Hommes_50_64ans_Deces2020";"Hommes_65_74ans_Deces2020";"Hommes_75_84ans_Deces2020";"Hommes_85ans_plus_Deces2020";"Femmes_0_24ans_Deces2019";"Femmes_25_49ans_Deces2019";"Femmes_50_64ans_Deces2019";"Femmes_65_74ans_Deces2019";"Femmes_75_84ans_Deces2019";"Femmes_85ans_plus_Deces2019";"Hommes_0_24ans_Deces2019";"Hommes_25_49ans_Deces2019";"Hommes_50_64ans_Deces2019";"Hommes_65_74ans_Deces2019";"Hommes_75_84ans_Deces2019";"Hommes_85ans_plus_Deces2019";"Femmes_0_24ans_Deces2018";"Femmes_25_49ans_Deces2018";"Femmes_50_64ans_Deces2018";"Femmes_65_74ans_Deces2018";"Femmes_75_84ans_Deces2018";"Femmes_85ans_plus_Deces2018";"Hommes_0_24ans_Deces2018";"Hommes_25_49ans_Deces2018";"Hommes_50_64ans_Deces2018";"Hommes_65_74ans_Deces2018";"Hommes_75_84ans_Deces2018";"Hommes_85ans_plus_Deces2018";"Zone";"LibelleZone"
"01/01/2020";11;25;77;96;157;624;7;45;125;192;207;334;7;26;65;105;148;541;16;61;104;173;223;347;7;17;83;79;187;652;12;59;135;164;202;405;"FE";"France"
"02/01/2020";16;46;152;183;328;1217;16;82;241;382;435;697;12;50;131;210;319;1129;24;120;255;345;436;697;10;36;156;173;377;1351;24;117;291;345;445;788;"FE";"France"
"03/01/2020";24;66;233;295;519;1814;28;128;380;576;630;1051;22;69;198;311;490;1679;36;153;408;528;668;1016;13;58;229;285;567;2028;34;149;420;527;710;1207;"FE";"France"
"04/01/2020";26;79;298;384;677;2419;39;170;491;759;826;1401;28;87;276;401;653;2246;44;195;541;703;888;1394;18;82;341;397;746;2687;46;194;555;710;944;1641;"FE";"France"
"05/01/2020";31;108;351;491;816;2977;53;205;610;937;1013;1711;33;111;342;501;809;2837;56;218;687;880;1114;1757;22;93;403;510;934;3362;59;242;700;874;1188;2044;"FE";"France"
"06/01/2020";38;125;412;621;984;3558;64;246;739;1129;1256;2106;42;131;395;591;985;3468;65;262;810;1024;1341;2111;28;120;485;632;1122;4014;66;284;843;1041;1410;2377;"FE";"France"
"07/01/2020";40;149;482;722;1171;4205;81;286;864;1328;1445;2492;54;152;473;688;1192;4068;74;309;954;1215;1569;2443;34;139;551;713;1314;4687;75;332;978;1209;1652;2722;"FE";"France"
"08/01/2020";46;163;542;827;1353;4803;100;314;976;1552;1664;2864;59;173;542;790;1356;4694;87;353;1072;1389;1797;2816;41;160;616;803;1486;5356;92;370;1151;1388;1909;3087;"FE";"France"
"09/01/2020";53;185;597;926;1546;5400;113;356;1095;1729;1892;3275;65;199;605;872;1523;5325;96;390;1210;1568;2024;3198;48;186;671;896;1686;6027;105;425;1285;1558;2118;3491;"FE";"France"
"10/01/2020";60;209;660;1030;1721;5996;121;403;1210;1913;2097;3678;72;217;656;966;1693;5935;108;438;1331;1753;2239;3598;53;208;735;990;1876;6661;117;462;1425;1716;2334;3863;"FE";"France"
"11/01/2020";71;223;733;1124;1895;6599;135;441;1332;2095;2289;4021;79;240;721;1051;1854;6554;113;474;1459;1947;2464;3961;62;226;811;1090;2059;7345;126;497;1536;1903;2565;4233;"FE";"France"
"12/01/2020";78;239;794;1203;2069;7165;146;474;1440;2280;2497;4357;82;262;797;1135;2043;7218;124;521;1586;2139;2681;4338;74;245;876;1184;2244;7971;135;538;1662;2083;2794;4607;"FE";"France"
"13/01/2020";82;252;843;1285;2238;7742;157;534;1537;2455;2696;4732;86;281;854;1221;2211;7844;132;556;1709;2307;2914;4728;86;261;941;1270;2433;8609;145;571;1795;2263;3023;4975;"FE";"France"
"14/01/2020";94;272;904;1373;2385;8336;163;574;1668;2665;2925;5127;91;297;929;1311;2370;8530;146;608;1833;2476;3112;5114;96;277;1012;1363;2612;9202;161;624;1906;2442;3251;5328;"FE";"France"
"15/01/2020";98;293;974;1480;2573;8907;171;609;1794;2835;3121;5522;96;322;1001;1412;2550;9143;155;645;1971;2663;3336;5478;98;301;1072;1458;2772;9799;175;660;2038;2621;3459;5649;"FE";"France"
"16/01/2020";103;305;1049;1585;2749;9478;183;649;1924;3024;3317;5891;101;348;1078;1520;2706;9780;161;679;2099;2859;3570;5845;106;327;1136;1564;2962;10433;187;697;2171;2791;3683;5994;"FE";"France"
"17/01/2020";107;322;1123;1691;2898;10073;193;685;2037;3181;3535;6252;106;366;1144;1620;2876;10372;171;722;2244;3045;3808;6210;113;350;1210;1656;3142;11037;201;747;2304;2973;3934;6344;"FE";"France"
"18/01/2020";110;338;1196;1777;3068;10662;204;722;2145;3351;3722;6561;111;384;1216;1714;3042;10981;185;774;2365;3214;4060;6570;120;367;1281;1758;3304;11650;210;793;2433;3142;4155;6713;"FE";"France"
"19/01/2020";116;355;1260;1874;3221;11199;212;753;2269;3505;3928;6889;114;409;1286;1806;3226;11590;192;815;2478;3397;4258;6954;130;391;1345;1860;3483;12265;221;833;2560;3303;4375;7095;"FE";"France"
"20/01/2020";120;370;1329;1973;3372;11739;223;792;2389;3688;4140;7235;122;432;1332;1929;3395;12185;202;842;2589;3571;4478;7279;139;409;1402;1956;3663;12901;228;867;2674;3452;4593;7482;"FE";"France"
"21/01/2020";127;386;1402;2067;3509;12342;229;831;2529;3856;4347;7555;129;454;1405;2027;3556;12799;215;889;2733;3738;4689;7653;141;435;1462;2059;3829;13501;234;905;2802;3642;4826;7875;"FE";"France"
"22/01/2020";137;404;1464;2143;3666;12913;237;872;2643;4021;4568;7905;137;470;1498;2125;3721;13471;227;933;2865;3901;4924;8058;148;454;1530;2143;4007;14111;241;948;2928;3822;5041;8203;"FE";"France"
"23/01/2020";147;418;1532;2228;3829;13446;246;904;2770;4204;4788;8249;146;487;1572;2237;3891;14120;235;967;2988;4077;5173;8417;153;483;1589;2221;4172;14728;251;992;3056;3985;5254;8534;"FE";"France"
"24/01/2020";159;437;1585;2331;4009;14037;255;940;2877;4379;5015;8580;152;511;1651;2331;4049;14723;243;1007;3117;4247;5393;8796;157;504;1641;2317;4360;15317;262;1034;3176;4164;5464;8891;"FE";"France"
"25/01/2020";168;450;1655;2437;4183;14617;267;976;2980;4553;5210;8915;155;537;1721;2438;4222;15341;255;1061;3246;4441;5643;9180;163;522;1703;2402;4551;15890;276;1084;3329;4311;5685;9228;"FE";"France"
"26/01/2020";176;465;1716;2530;4341;15203;279;1016;3078;4698;5418;9246;157;558;1797;2536;4406;16022;264;1092;3370;4633;5884;9585;169;530;1756;2495;4700;16466;287;1118;3468;4472;5918;9565;"FE";"France"
"27/01/2020";183;483;1787;2630;4487;15805;289;1052;3228;4866;5642;9592;163;586;1872;2635;4570;16645;271;1119;3474;4838;6137;9981;174;544;1823;2596;4848;17024;299;1155;3555;4645;6135;9908;"FE";"France"
"28/01/2020";185;500;1851;2722;4652;16343;299;1083;3354;5053;5842;9976;176;607;1933;2726;4747;17323;277;1166;3625;5038;6385;10367;181;562;1887;2686;4987;17553;311;1205;3668;4802;6345;10224;"FE";"France"
"29/01/2020";190;523;1907;2803;4809;16916;311;1129;3468;5256;6065;10345;183;623;1989;2827;4944;17969;287;1200;3768;5233;6622;10739;188;577;1948;2778;5166;18085;323;1251;3791;4958;6557;10566;"FE";"France"
"30/01/2020";199;542;1973;2899;4955;17464;321;1167;3596;5428;6280;10676;186;644;2058;2917;5121;18598;295;1234;3915;5403;6862;11159;196;602;2021;2868;5335;18631;335;1284;3918;5139;6762;10908;"FE";"France"
"31/01/2020";203;561;2038;2991;5112;18043;332;1214;3722;5619;6476;11040;189;661;2131;3016;5328;19227;301;1268;4037;5609;7085;11568;200;618;2093;2957;5493;19214;347;1324;4046;5298;6985;11233;"FE";"France"
"01/02/2020";209;582;2089;3080;5240;18647;346;1254;3821;5807;6660;11358;199;684;2207;3137;5532;19916;313;1311;4175;5804;7324;11968;207;634;2166;3054;5653;19743;355;1351;4184;5446;7194;11569;"FE";"France"
"02/02/2020";214;604;2154;3177;5406;19202;354;1301;3951;5984;6881;11724;205;707;2272;3240;5702;20581;337;1353;4304;5970;7574;12360;217;657;2231;3142;5840;20315;359;1393;4308;5593;7399;11876;"FE";"France"
"03/02/2020";224;621;2221;3281;5594;19778;365;1350;4059;6176;7103;12067;209;735;2342;3357;5857;21197;342;1405;4417;6150;7770;12720;225;680;2301;3242;6010;20807;366;1427;4431;5745;7616;12205;"FE";"France"
"04/02/2020";232;638;2297;3375;5760;20374;375;1385;4179;6339;7345;12411;222;761;2424;3454;6034;21838;353;1444;4555;6341;8017;13090;226;699;2381;3324;6173;21349;375;1473;4568;5921;7816;12517;"FE";"France"
"05/02/2020";241;653;2366;3471;5917;20910;390;1421;4283;6497;7551;12753;234;779;2490;3552;6231;22544;362;1482;4685;6532;8251;13488;234;718;2444;3426;6347;21931;389;1518;4695;6112;8037;12828;"FE";"France"
"06/02/2020";246;671;2430;3565;6066;21494;402;1469;4403;6666;7765;13088;239;805;2547;3656;6433;23223;379;1514;4815;6708;8487;13919;245;732;2498;3533;6525;22506;403;1560;4836;6291;8265;13144;"FE";"France"
"07/02/2020";252;689;2502;3669;6210;22074;414;1513;4519;6860;7977;13418;248;817;2613;3736;6626;23901;392;1560;4926;6873;8736;14325;250;751;2548;3625;6686;23074;415;1611;4977;6454;8486;13503;"FE";"France"
"08/02/2020";259;707;2569;3759;6369;22611;421;1546;4647;7050;8193;13772;260;830;2686;3840;6810;24542;406;1601;5067;7066;8997;14715;256;768;2625;3721;6846;23627;428;1638;5114;6627;8687;13841;"FE";"France"
"09/02/2020";263;719;2631;3859;6505;23139;431;1579;4759;7207;8402;14126;266;857;2746;3938;7004;25215;416;1643;5199;7267;9209;15102;263;792;2697;3800;7014;24221;432;1676;5252;6803;8883;14189;"FE";"France"
"10/02/2020";269;741;2692;3930;6671;23707;441;1627;4876;7397;8626;14471;274;875;2805;4046;7165;25868;427;1676;5315;7454;9440;15475;271;817;2760;3893;7176;24818;440;1724;5373;6978;9125;14555;"FE";"France"
"11/02/2020";273;755;2755;4023;6821;24283;457;1655;5027;7554;8820;14817;279;889;2868;4140;7338;26507;438;1728;5454;7648;9691;15856;277;842;2827;3983;7340;25419;450;1764;5510;7143;9325;14894;"FE";"France"
"12/02/2020";278;781;2815;4133;7003;24778;469;1695;5132;7725;9052;15175;287;912;2939;4238;7490;27170;450;1761;5585;7854;9918;16204;281;862;2891;4079;7506;25993;462;1797;5637;7309;9527;15248;"FE";"France"
